Number;"1.274 requirements"
3955;"Чтение электрических, принципиальных, структурных схем электроснабжения;"
3956;"Знание принципов работы инженерных систем;"
3957;"Навыки работы в программах autocad и eplan, microsoft office;"
3958;"Готовность к редким командировкам."
3959;"Разработка архитектуры. выбор, обоснование и согласование решений. детализация архитектуры систем, подготовка технических документов проекта в соответствии с принятыми стандартами;"
3960;"Сопровождение проектов на стадии внедрения, развития, модификации ит-решений, участие в технологическом руководстве проектами;"
3961;"Контроль соответствия технологических требований целевой архитектуре;"
3962;"Участие в экспертных оценках работы программных продуктов, созданных на основе спецификации требований для проверки корректности реализации требований;"
3963;"Взаимодействие с другими подразделениями в части проектирования комплексных систем, оказание консультативно-методической помощи по архитектурным вопросам."
3964;"Опыт работы на позициях архитектора/ведущего разработчика или схожих позициях;"
3965;"Понимание технологий разработки и внедрения ит решений;"
3966;"Знание и навыки моделирования ит решений;"
3967;"Знание и опыт построения микросервисной архитектуры"
3968;"Знание принципов работы основных протоколов взаимодействия, применяемых при построении ит решений, а также принципов их выбора;"
3969;"Знание методов и средств проектирования крупных высоконагруженных геораспределенных систем, современных технологий интеграции информационных систем;"
3970;"Понимание сервисно-ориентированной архитектуры (soa);"
3971;"Понимание этапов жизненного цикла программного продукта."
3972;"Разработка схем газоснабжения, теплоснабжения, водоснабжения и водоотведения городских поселений (написание пояснительных записок);"
3973;"Работа с предоставленными исходными данными;"
3974;"соблюдение сроков проведения работ по контракту; "
3975;"Составление отчетной документации;"
3976;"Деловая переписка."
3977;"Образование профильное;"
3978;"Знание программного комплекса zulu желательно;"
3979;"Опыт проектирования в смежных направлениях приветствуется;"
3980;"Ответственность;"
3981;"Умение работать с большим объемом информации;"
3982;"Личностные качества: грамотность, ответственность, аккуратность, внимательность, инициативность, творческий подход к решению задач."
3983;"Администрирование и сопровождение хранилища данных и витрин данных на платформе ms sql server."
3984;"Администрирование и сопровождение системы бизнес-аналитики в качестве специалиста 2-й линии поддержки."
3985;"Разработка процедур etl для системы бизнес-аналитики на платформе power bi report server."
3986;"Актуализация документации по разрабатываемым модулям."
3987;"Администрирование microsoft sql server, ssrs, ssis, power bi report server."
3988;"Опыт работы с olap и табулярными моделями, опыт написания sql запросов."
3989;"Опыт разработки и доработки etl схем и средств визуализации."
3990;"Реинжиниринг бизнес процессов от «as is» к «to be»;"
3991;"Определение подходов к описанию архитектуры организации, формирование видения взаимодействия подразделений на уровне l1;"
3992;"Определение целей и требований к бп (wfm, value chain) на уровнях l3-"
3993;"Внедрение инструментов bpm;"
3994;"Определение требований к ит-системам для обеспечения эффективного исполнения бп, участие в технологическом и архитектурном комитете;"
3995;"Взаимодействие с заказчиками, менеджерами по оптимизации;"
3996;"Отвечают за полный цикл оптимизации проекта/выполнения проекта;"
3997;"Периодический аудит процессов. контроль на оптимальность и не дублирование новых бизнес-процессов;"
3998;"Оптимизация системы менеджмента качества."
3999;"Опыт работы в компаниях со сложной организационной структурой;"
4000;"Успешный опыт ведения крупных проектов по оптимизации бп;"
4001;"Навыки оптимизации смк;"
4002;"Навыки проведения анализа бп и по на всех уровнях;"
4003;"Навыки моделирования и знания инструментов bpm;"
4004;"Навыки внедрения новых инструментов в бп;"
4005;"Навыки ведение переговоров и кроссфункциональных встреч;"
4006;"Навыки оценки эффекта от реализации проекта;"
4007;"Навыки планирования, постановки задач и контроля."
4008;"выполнение графика ппр; работы по заявкам; ликвидация аварийных ситуаций; выполнение задач, поставленных непосредственным руководителем; техническое обслуживание инженерных систем; ведение технической документации.     "
4009;"Опыт в должности техника кипиа"
4010;"Знание действующей нормативной документации"
4011;"Хорошее знание программируемых контроллеров."
4012;"Свободное владение microsoft office (ms word, ms excel, ms visio), autocad."
4013;"Опыт работы от 6 лет"
4014;"Знание правил эксплуатации, настройки и технического обслуживания телекоммуникационного и слаботочного оборудования, сетей и систем;"
4015;"Автоматизация рабочих процессов в среде revit,"
4016;"Внедрение и сопровождение разработок,"
4017;"Разработка плагинов, обработка данных информационных моделей."
4018;"Высшее образование по инженерным специальностям, пгс/архитектурное;"
4019;"Опыт программирования под revit. наличие реализованных плагинов под revit;"
4020;"Желательно знание api revit;"
4021;"Языки программирования python, c#, vba;"
4022;"Системный подход к решению задач и планированию работ;"
4023;"Ориентация на результат, структурированность и высокая степень самоорганизованности;"
4024;"Знания:"
4025;"Уровень знания английского языка достаточный для чтения технической литературы."
4026;"Участие в проекте развития и поддержки информационных систем автоматизации департамента управления персоналом группы компаний (более 30-ти бизнес-единиц) на базе 1с:зарплата и управление персоналом корп."
4027;"Разработка и внедрение новых механизмов:"
4028;"Работа в распределенной команде на проектах группы компаний."
4029;"Высшее профессиональное образование."
4030;"Глубокое знание конфигурации 1с:зуп обязательно."
4031;"Обязательно хорошее знание механизмов платформы 1с, запросов, скд, управляемое приложение."
4032;"Опыт работы с расширениями."
4033;"Опыт решения интеграционных задач."
4034;"Опыт разработки мобильных предложений и сервисов будет преимуществом."
4035;"Наличие сертификатов 1с приветствуется."
4036;"Опыт работы в управляющих компаниях крупных производственных структур приветствуется."
4037;"Участие во внешних и внутренних проектах по роботизации процессов;"
4038;"Сбор и анализ бизнес-требований для проектов по автоматизации процессов с использованием технологии rpa;"
4039;"Проектирование и согласование ит-решений на основе технологии rpa;"
4040;"Написание технических спецификаций;"
4041;"Разработка программных роботов (скрипт на платформе rpa);"
4042;"Разработка проектной и пользовательской документации;"
4043;"Демонстрация результатов заказчику;"
4044;"Отладка роботов в продуктивной и тестовой среде."
4045;"Высшее образование - техническое или экономическое/финансовое."
4046;"Опыт работы с rpa платформами uipath, robin - желательно;"
4047;"Опыт работы в области внедрения информационных систем, проектирования ит-решений на основе технологии rpa;"
4048;"Опыт работы с бизнес-требованиями заказчика (участие в обсуждении, оценке);"
4049;"Опыт работы с программными роботами (rpa);"
4050;"Опыт написания технических спецификаций, проектной и пользовательской документации;"
4051;"Умение расставлять приоритеты и организовывать рабочий процесс, коммуникабельность, высокая стрессоустойчивость, уверенность в себе, умение поддерживать позитивные отношения, отстаивать свою позицию;"
4052;"Наличие сертификата академии uipath будет являться преимуществом."
4053;"Развитие и поддержка систем дистанционного банковского обслуживания;"
4054;"Создание нового и оптимизация работы имеющегося функционала;"
4055;"Участие в анализе требований;"
4056;"Изучение новых технологий и повышение уровня собственных знаний."
4057;"Разработка проектов по строительству волс"
4058;"Проведение обследования объекта для получения исходных данных для проектирования"
4059;"Выбор тех. решений‚ разработка рабочих чертежей и документации"
4060;"Формирование чертежей в autocad"
4061;"Согласование разработанной документации со всеми заинтересованными организациями"
4062;"Взаимодействие с заказчиками по тех. вопросам"
4063;"Взаимодействие с тех. службами"
4064;"образование: высшее "
4065;"опыт работы: не требуется "
4066;"язык : русский (свободный) "
4067;"знание autocad "
4068;"строительный контроль объектов; участие в организации выполнения работ на объектах инвестиционной программы: "
4069;"Организация, планирование и администрирование cad solidworks и solidworks pdm;"
4070;"Сбор данных от проектировщиков, создание и реализация структуры и рабочих потоков движения проектов;"
4071;"Поддержка пользователей по вопросам работы с системой, реализация предложений по внесению изменений для оптимизации функционала систем;"
4072;"Формирование и реализация требований по модернизации системы собственными силами и/или с привлечением сторонних организаций;"
4073;"Обучение пользователей, разработка пользовательских инструкций и иной необходимой документации; планирование обучения;"
4074;"Решение технических задач по процессам моделирования в solidworks;"
4075;"Администрирование базовой инфраструктуры (active directory, local dns, системы backup);"
4076;"Управление корпоративными аккаунтами gmail, slack, trello."
4077;"Высшее профессиональное образование (техническое) по направлению;"
4078;"Опыт работы по специальности от 3 лет;"
4079;"Понимание работы инженерно-производственных служб;"
4080;"Понимание процессов инженерно-производственной подготовки;"
4081;"Навыки настройки solidworks (настройка шаблонов сборочных единиц, настройка баз данных материалов, настройка стандартов чертежей, настройка toolbox, ескд);"
4082;"Практический опыт построения и внедрения системы solidworks pdm, в том числе реализация бизнес-процессов инженерных подразделений;"
4083;"Базовые знания sql (для администрирования solidworks pdm);"
4084;"Практический опыт администрирования системы solidworks pdm;"
4085;"Опыт консультирования инженерных подразделений по работе в solidworks и swepdm;"
4086;"Базовое администрирование windows серверов ad,dns,gpo, систем резервного копирования (veeam\acronis);"
4087;"Базовое понимание сетей передачи данных;"
4088;"Диагностика и возможный ремонт (мелкий) пк, принтеров и прочей периферии."
4089;"Обеспечить технически исправное состояние, бесперебойную, надёжную работу и рациональное использование средств асутп, находящихся в эксплуатации на обслуживаемых участках, а также проведение капитального и текущего ремонта средств асутп."
4090;"Участвовать в разработке перспективных и текущих планов и графиков работы, технического обслуживания и ремонта оборудования, мероприятий по улучшению его эксплуатации и повышению эффективности использования асутп."
4091;"Осуществлять подготовку оборудования к работе, технический осмотр отдельных устройств и узлов, контролировать параметры и надежность электронных элементов оборудования, проводить тестовые проверки с целью своевременного обнаружения неисправностей и их устранения."
4092;"Высшее профильное образование;"
4093;"Опыт работы от 1 года;"
4094;"Высшее профессиональное образование;"
4095;"Опыт работы на аналогичной должности от 1 года;"
4096;"Базовые знания электроники и электротехники;"
4097;"Опыт работы с plc simatic s7;"
4098;"Знание программного обеспечения: step 7, wincc flexible, intouch;"
4099;"Опыт работы с частотными преобразователями."
4100;"Высшее техническое образование."
4101;"Практический опыт работы руками (работа внедренцем, разработчиком, системным администратором, инженером, архитектором, dba и так далее)."
4102;"Умение и желание общаться с продвинутыми программистами и аналитиками, бухгалтерами и продавцами, топ-менеджерами предприятий."
4103;"Преимуществом будет понимание механизмов учёта в любой erp-системе (товарного, бухгалтерского), английский язык, опыт работы с 1с или sap, понимание принципов работы эдо. это не является обязательным требованием."
4104;"Сопровождение и администрирование баз данных 1с;"
4105;"Написание отчетов и обработок;"
4106;"Разработка технических заданий;"
4107;"Разработка программного обеспечения по техническим заданиям;"
4108;"Интересные задачи по доработке 1с - созданию дополнительного функционала;"
4109;"Обновление конфигураций 1с (нетиповых);"
4110;"Перенос данных между конфигурациями 1с, перенос данных из сторонних программ;"
4111;"Анализ проблемы и поиск путей решения."
4112;"Опыт работы – программирование на языке «1с:предприятие 8» от 2-х лет;"
4113;"Опыт разработки средств интеграции и взаимодействия системы &quot;1с: предприятие 8&quot; с другими системами;"
4114;"Опыт оптимизации кода, встроенных запросов;"
4115;"Знание языка программирования, типовых механизмов платформы, языка запросов 1с: предприятие 8;"
4116;"Умение общаться с конечным пользователем;"
4117;"Преимущество: наличие сертификата «специалист» по платформе 1с 8;"
4118;"Желание развивать профессиональные качества."
4119;"Высшее техническое образование;"
4120;"Опыт программирования на delphi от 2-х лет;"
4121;"Знание sql и принципов работы субд, опыт работы с промышленными бд (oracle, ms sql или postgresql);"
4122;"Понимание принципов ооп и паттернов проектирования;"
4123;"Умение писать чистый и понятный код, анализировать и отлаживать программы;"
4124;"Английский язык на уровне достаточном для чтения и понимания технической документации."
4125;"Участие в подготовке и актуализации стратегии, административная поддержка руководителя в части сбора и систематизации информации, контроля сроков и поручений"
4126;"Нормоконтроль разрабатываемых нормативных документов на соответствие требованиям методологии стратегического управления в компании"
4127;"Администрирование воронки стратегических инициатив (сбор информации, ведение реестра, учет, систематизация, координация процесса вынесения инициатив и их дальнейшего отбора). ежемесячные обзоры портфеля инициатив"
4128;"Администрирование портфеля мероприятий по достижению стратегических инициатив"
4129;"Администрирование процесса мониторинга выполнения стратегии, обновления прогнозов достижения стратегических целей"
4130;"Участие в развитии (в т.ч. автоматизации) системы стратегического управления в компании"
4131;"Участие в проведении обучения работников в области регламентации процесса стратегического управления"
4132;"Высшее образование"
4133;"Понимание сути процесса стратегического управления (место стратегии в системе управления компанией, подготовка стратегии, декомпозиция целей, мониторинг выполнения, а так же регламентация процесса)"
4134;"Понимание роли администратора в проектном управлении"
4135;"Базовые навыки экономического анализа"
4136;"понимание роли офиса трансформации в крупных компаниях "
4137;"опыт разработки нормативных документов "
4138;"опыт работы с системами электронного документооборота "
4139;"навыки систематизации и консолидации информации "
4140;"Проектирование новых решений образовательных сервисов в соответствии со стратегией развития университета"
4141;"Разработка технических заданий для проектирования образовательных сервисов цифрового университета в переходный период (от одной кис к другой)"
4142;"Взаимодействие с разработчиками"
4143;"Взаимодействие с клиентами"
4144;"Организация тестирования и запуска новых бизнес-процессов на уровне университета"
4145;"Обслуживание, ремонт систем асутп на базе контроллеров siemens s7-200, s7-300, s7-400, ge fanuc, direct logic, omron, мфк текон и др., и scada-систем wonderware intouch, wincc;"
4146;"Разработка схем автоматизации производства, обслуживание интеллектуальных приборов, подключенных по протоколам profibus dp, profibus pa, modbus и др."
4147;"Функциональное проектирование решений производственного учета и планирования производства;"
4148;"Внедрение информационно-производственных систем на производствах;"
4149;"сопровождение систем управления производством, решение обращений пользователей системы, настройка и внесение изменений в информационную систему при необходимости; "
4150;"разработка, доработка рабочих процессов, рабочих инструкций, отчетных форм; "
4151;"подготовка технических заданий для доработки отдельных модулей и функций для программистов, тестирование их реализации; "
4152;"разработка решений по интеграции данных для внедряемой системы; "
4153;"тестирование новых версий по, выявление и анализ проблем, связанных с функционированием внедряемых отчетов. "
4154;"Высшее техническое образование по специальности автоматизация технологических процессов (любой отрасли промышленности);"
4155;"опыт работы со scada или erp системами, разработки и пусконаладки систем асутп или mes, sql; "
4156;"Опыт работы с wonderware intouch, wincc 6.0, 6.2, step7, autocad, visio, ms sql;"
4157;"Участие в проектной работе по разработке (внедрению) информационных систем."
4158;"Участие в разработке промышленных робототехнических систем от концептуального проектирования до ввода в эксплуатацию."
4159;"Разработка и моделирование алгоритмов управления робототехническими системами."
4160;"Отработка систем методами sil и hil (software-in-loop, hardware-in-loop)."
4161;"Разработка по для контроллеров."
4162;"Разработка пользовательских интерфейсов."
4163;"Участие в пусконаладочных работах."
4164;"Опыт работы 3-5 лет в области разработки программ и/или электроники;"
4165;"Приветствуется опыт программирования микроконтроллеров и/или плк."
4166;"Языки программирования: одно из сценарных языков программирования (python, javascript, lua, iec6113103, codesys), c#."
4167;"Приветствуем работы с matlab/simulink, wolfram, openmodelica или сопоставимые."
4168;"Практический опыт работы с электро-, серво-, пневмо-приводами, датчиками будет преимуществом."
4169;"Особенно ценим свободу ума, обучаемость, желание осваивать новые области знаний в программном обеспечении."
4170;"Обслуживание, ремонт и наладка технологического оборудования."
4171;"Обеспечение соблюдения всех параметров технологического режима."
4172;"Своевременное ведение технологических документов (журналов, карт и т.п.)."
4173;"Опыт программирования устройств человеко-машинного интерфейса."
4174;"Опыт работы с частотными преобразователями, сервоприводами."
4175;"Опыт программирования логических контроллеров."
4176;"Высшее или среднее техническое образование (предпочтительно электротехническое)."
4177;"Опыт работы по профилю от 2-лет на фармацевтической/пищевой промышленности."
4178;"Разработка сайтов и веб-приложений;"
4179;"Создание корпоративных геоинформационных систем. клиент-серверная технология."
4180;"Отладка, оптимизация и сопровождение кода."
4181;"Умение писать понятный, красивый, документированный код, который можно поддерживать;"
4182;"Умение и желание работать и развиваться в команде;"
4183;"Желание развиваться и изучать новые технологии;"
4184;"Качественное выполнение тестового задания. "
4185;"Сопровождение проектов программы «реинжиниринг асутп» в области асутп:"
4186;"Систем усовершенствованного управления технологическими;"
4187;"Систем оптимизации технологических процессов в реальном времени цепочками (rto / drto);"
4188;"Систем и модулей, реализующих функции многосвязного регулирования;"
4189;"Систем и модулей приоритезации или ранжирования сигнализаций;"
4190;"Проекты по внедрению систем автоматизированных пуско-остановочных операций, модулей управления по сценариям;"
4191;"Систем модулей прогнозирования опасных состояний."
4192;"Выполнение оценки состояния базовой системы регулирования на технологических установках."
4193;"Участие в сессиях по анализу опасности и работоспособности (hazop) на технологических установках в части асутп"
4194;"Образование – высшее (техническое);"
4195;"Стаж работы – на инженерно-технических должностях в области автоматизации технологических процессов в нефтеперерабатывающей отрасли не менее 5 лет;"
4196;"Наличие опыта внедрения и управления эксплуатацией современных автоматизированных систем технологической и информационно-коммуникационной инфраструктуры."
4197;"программирование plc "
4198;"реализация проекта автоматизации технологической установки с нуля "
4199;"умение разрабатывать алгоритмы управления в среде codesys "
4200;"английский на уровне чтения документации "
4201;"аналогичный опыт работы от 3ех лет "
4202;"Сбор, анализ, формализация и согласование бизнес-требований, функциональных требований"
4203;"Разработка сценариев использования"
4204;"Составление и согласование технических заданий, схем, прототипов"
4205;"Разработка/поддержание документации по информационной системе / бизнес-процессу"
4206;"Постановка задач на разработку"
4207;"Взаимодействие с внешними подрядчиками, командой разработки и отделом тестирования."
4208;"Высшее техническое образование"
4209;"Английский язык, уверенное общение и переписка"
4210;"Опыт работы с ит проектами от 2 лет (аналогичная позиция, на одном месте более года)"
4211;"Понимание жизненного цикла разработки по"
4212;"Умение лаконично формулировать мысли как устно, так и письменно"
4213;"Умение и желание общаться с заказчиками, разработчиками, тестировщиками, аналитиками смежных систем"
4214;"Базовые знания sql, php, html, css, 1с или других языков программирования\разметки будет плюсом."
4215;"Высшее образование (пнипу эф, пгниу фф)"
4216;"Участие в проекте внедрения систем класса mes;"
4217;"Описание и анализ бизнес-процессов (планирование, диспетчеризация, контроль производства и др.) заказчика:  сбор и анализ информации по объекту автоматизации (общение с заинтересованными лицами — разработчиками, руководителями заказчика, конечными пользователями);"
4218;"Составление требований к будущему продукту;"
4219;"Анализ требований (применение различных методологий и нотаций — прототипирование, анкетирование, опрос, мозговой штурм, анализ существующих документаций и др.);"
4220;"Анализ проблемных областей и предложения для улучшения;"
4221;"Формализация требований (разделение требований на бизнес-, функциональные, не функциональные, написание спецификации требований);"
4222;"Разработка документации (технические проекты, технические задания, регламенты);"
4223;"Управление требованиями (обработка запросов на изменение, анализ и описание влияния на существующие требования);"
4224;"Трансляция требований между разработчиками и заказчиком."
4225;"Тестирование системы;"
4226;"Разработка регламентов, инструкций;"
4227;"Обучение пользователей системы."
4228;"Высшее образование (инженерно-техническое, экономика, математика, технологии машиностроения, бизнес-информатика);"
4229;"Умение расставлять приоритеты и выполнять качественно работу при большом количестве задач;"
4230;"Готовность к частым командировкам;"
4231;"Аналитический склад ума;"
4232;"Стрессоустойчивость;"
4233;"Высокий уровень ответственности и самостоятельности;"
4234;"Умение легко разбираться в неизвестной области;"
4235;"Умение анализировать текущую ситуацию в сравнении с прошлой;"
4236;"Умение принимать решения;"
4237;"Умение и желание учиться;"
4238;"Хорошие коммуникативные способности;"
4239;"Внимание к деталям;"
4240;"Умение четко и ясно формулировать свои мысли;"
4241;"Внедрение практик devops, автоматизация тестирования; тестирование высоконагруженных систем, управление тестовыми средами."
4242;"Неполное высшее/высшее образование;"
4243;"Готовность к полной занятости;"
4244;"Технические факультеты: автоматизированные системы, информационные системы, бизнес-информатика, программирование, вычислительная математика и математическая физика, вычислительная математика и кибернетика, механико-математический факультет и т.д."
4245;"Знание sql, linux, python, java, с++, git."
4246;"Уверенная устная и письменная речь на русском языке;"
4247;"Умение работать с большим объемом данных;"
4248;"Умение работать в команде."
4249;"Участие в развитии и сопровождении перспективного продукта компании (администратора сети из фпсу-ip)."
4250;"Работа в рамках проекта по внедрению единой инженерной платформы (еип) в крупном инжиниринговом центре;"
4251;"Работа в соответствии со стандартами (гост, ескд);"
4252;"Создание цифрового двойника ранее разработанных изделий в pdm системе (создание 3d моделей и 2d чертежей в cad – системе);"
4253;"Оцифровка заимствованных узлов и деталей с ранее разработанных изделий с последующим занесением в pdm систему;"
4254;"Локальная поддержка и консультирование пользователей по работе в cad/pdm системах;"
4255;"Администрирование pdm системы;"
4256;"Участие в разработке новых методологий проектирования."
4257;"Профильное высшее или неполное высшее техническое образование;"
4258;"Опыт работы в cad – системе среднего или высокого уровня (autodesk inventor, solidworks, siemens nx);"
4259;"Готовность к командировкам."
4260;"Система охранно-тревожной сигнализации (сотс);"
4261;"Система охраны периметра (соп);"
4262;"Система контроля и управления доступом (скуд);"
4263;"Система пожарной сигнализации (пс);"
4264;"Система оповещения и управления эвакуацией людей при пожаре (соуэ);"
4265;"Система газового и порошкового пожаротушения (ауппт, аугпт);"
4266;"Система радиофикации и оповещения по сигналам го и чс (рт);"
4267;"Сети связи (телевидение тв, телефония тф);"
4268;"Система передачи данных (спд);"
4269;"Система часофикации (эчс);"
4270;"Система охранного телевидения (сот);"
4271;"Система обеспечения доступа маломобильным группам населения (соди);"
4272;"Автоматизация систем противопожарной защиты (автоматизация дымоудаления, автоматизация водяного пожаротушения)."
4273;"Высшее техническое образование;"
4274;"Опыт работы в проектировании, подбору оборудования, проведении изыскательных работ от 5-и лет;"
4275;"Опыт проектирования интегрированных систем безопасности рубеж, орион, trassir, линия, macroscop, стрелец и т.п."
4276;"Свободное владение пк (ms office), autocad.знание нормативов, норм, сп по всем разделам;"
4277;"Приветствуется опыт работы с пакетами автоматизации проектирования nanocad;"
4278;"Опыт 3d проектирования в строительных сапр."
4279;"Участие в проектах внедрения информационных систем."
4280;"Готовность к командировкам."
