;Required skill
10868;проведение презентаций переговоров с лпр (без самостоятельного поиска клиентов);1
10869;выставление счетов заключение сделок;1
10870;участие в организации конференций семинаров;1
10871;помощь и консультирование покупателей при выборе цифровой техники мобильных телефонов аксессуаров;1
10872;проведение продаж по кассе;1
10873;настройки (подключение услуг настройка интернета регистрация в соц сетях и пр);1
10874;желание быть лучшим;1
10875;знание продукции фирмы apple приветствуется;1
10876;обеспечение документооборота с клиентами и отчетность;1
10877;мы готовы рассматриваем кандидатов без опыта работы в продажах;1
10878;работа с клиентами в торговом зале консультирование в вопросах техники;1
10879;смена ценников на товары;1
10880;с ярко выраженными лидерскими компетенциями: умением наставлять мотивировать понимать особенности управления разными людьми ;1
10881;полный социальный пакет ;1
10882;постоянное обучение и развитие: корпоративная библиотека тренинги привлечение экспертов ;1
10883;комфортный офис рядом с ж/д вокзалом ;1
10884;вести клиентскую базу компании (гос заказчики мин спорта мин образование и др);1
10885;развивать текущих клиентов и привлекать новых (&quotхолодные&quot/&quotтёплые&quot клиенты);1
10886;обработка входящих заказов на оборудование и по выставление счетов;1
10887;помощь руководителю отдела в оформлении документов и подготовке договоров;1
10888;работа в 1с и crm системе (научим);1
10889;позиция предполагает профессиональный и карьерный рост в соответствующем направлении;1
10890;знание ms office (word excel outlook) на уровне уверенного пользователя;1
10891;исполнительность внимательность пунктуальность ответственность грамотная речь;1
10892;навыки делового письма;1
10893;осуществление мониторинга и анализа рынка недвижимости разработка на их основе плана работы своей группы по различным видам недвижимости;1
10894;организация работы по разработке и внедрению технологий и методов повышения продаж недвижимости;1
10895;выполнение количественных и качественных показателей отдела таких как создание и увеличение клиентской базы обработка всех входящих заявок от клиентов;1
10896;переговоры с клиентами контрагентами;1
10897;контроль работы отдела продаж по всей воронке продаж (в подчинении до 15 менеджеров по продажам недвижимости);1
10898;организация и проведение сделок;1
10899;анализ эффективности менеджеров предоставление отчетности руководителю;1
10900;организация работы по ведению и расширению базы клиентов;1
10901;повторные обращения;1
10902;ведение установленной компанией отчетности;1
10903;выезжать по заявке на территорию клиента;1
10904;проводить диагностику пк и ноутбуков;1
10905;ремонтировать/настраивать компьютерную технику;1
10906;опыт руководства будет вашим преимуществом;1
10907;знание англ языка будет вашим преимуществом;1
10908;участие в закупочных процедурах на поставку оборудования и выполнение работ/услуг ведение контрактной и претензионной работы;1
10909;актуализация потребностей заказчика и поиск новых направлений для развития отношений;1
10910;общаться с юридическими лицами по качественному скрипту и хорошо подобранным базам;1
10911;выполнять количественные показатели по состоявшимся разговорам и оформленным заявкам;1
10912;грамотная русская речь активность и уверенность в себе!;1
10913;отсутствие страха первому позвонить в незнакомую для вас компанию и уж точно не переживать по каждому отказу;1
10914;ваши возраст пол национальность для нас не имеют значения – мы ценим профессионалов своего дела и людей стремящимися ими стать!;1
10915;полное обучение с нуля (от вас только желание);1
10916;доход от 24 000 при выполнении базовых показателей;1
10917;операторы с опытом получают около 40 000;1
10918;своевременная выплата заработной платы 2 раза в месяц без задержек;1
10919;поиск клиентов всеми доступными способами (холодные звонки участия в выставках направления предложений по средствам коммуникаций электронной почтой и пр);1
10920;анализ аудитории потенциальных клиентов;1
10921;организация и проведение переговоров (встреч) с клиентами выявление потребности каждого конкретного клиента и подготовка предложения адресованного определенному клиенту проведение презентаций(выездных);1
10922;поддержание постоянного контакта с существующими клиентами организация работы с ними по устоявшимся деловым схемам;1
10923;налаживание обратной связи с клиентами (изучение их требований к услугам установление причины неудовлетворенности клиента совместной работой анализ претензии клиентов и принятие мер по их решению и сохранению деловых связей);1
10924;формирование базы данных о клиентах (клиентской базы);1
10925;успешный опыт работы в сфере b2b продаж от 1 года;1
10926;обучаемость стремление расти и развиваться;1
10927;поддержка пользователей в чатах компании ;1
10928;работа с имеющейся базой ;1
10929;мониторинг настроений тенденций внутри комьюнити работа с отзывами в иных источниках ;1
10930;предоставлять фидбек от пользователей для команды отстаивать интересы аудитории внутри команды ;1
10931;развитие сообщества ;1
10932;работа с базой продления (оплаты вторых и последующих месяцев текущими студентами) ;1
10933;ведение отчетности ;1
10934;работа в crm ;1
10935;администрирование и поддержка отдела продаж ;1
10936;работа с юридическими лицами и строительными бригадами;1
10937;оформление документов ведение отчетности;1
10938;опыт работы в продажах обязателен;1
10939;готовность к постоянному саморазвитию и совершенствованию навыков проведения переговоров;1
10940;грамотное консультирование покупателей по вопросам ассортимента и наличия и количества товара;1
10941;выкладка товара в торговом зале;1
10942;ежедневно контролировать наличие ценников на выставленный товар правильность их оформления и размещения;1
10943;знание кассовой дисциплины и основ мерчандайзинга;1
10944;опыт работы в аналогичной должности от 6 мес приветствуется;1
10945;продажа дополнительных услуг и товаров/;1
10946;знание и владение техникой продаж (будет вашим преимуществом);1
10947;возможность приобрести опыт руководящей работы;1
10948;постоянное развитие и совершенствование своих профессиональных навыков на тренингах и мастер-классах наших сотрудников учат лучшие нижегородские и московские бизнес-тренеры а также специалисты собственного учебного центра;1
10949;работа в дружном коллективе;1
10950;поиск и привлечение новых клиентов корпоративные продажи;1
10951;осуществление проектов анализ рынка и конкурентной политики;1
10952;калькуляция коммерческих предложений работа с вендорами (поставщиками);1
10953;организация встреч и презентации;1
10954;работа с готовой базой корпоративных клиентов и расширение базы;1
10955;полный цикл продаж it услуг и продуктов по всей территории рф (общение по телефону переписка с клиентом);1
10956;установление и поддержание долгосрочных отношений с клиентами;1
10957;консультация клиентов по финансовым и техническим вопросам;1
10958;выполнение личного плана продаж прямая зависимость дохода от выполнения плана;1
10959;успешный опыт продаж будет преимуществом (телекоммуникация консалтинг  оборудование it услуги - b2b b2c);1
10960;навыки общаться с клиентами;1
10961;​хорошо развитые коммуникативные навыки;1
10962;владение пк на уверенном уровне;1
10963;прием и обработка входящих заявок от клиентов;1
10964;коммуникация и взаимодействие с клиентом;1
10965;контроль за своевременным выполнение заявок техспециалистами;1
10966;проведение телефонный переговоров;1
10967;проведение презентации услуг компании / работа без выезда к клиенту;1
10968;комплексная работа с клиентами;1
10969;прием звонков заключение договоров оформление сделок;1
10970;консультирование клиентов компании по продуктам и услугам 1с;1
10971;контроль исполнения и качества работ;1
10972;демонстрация программного обеспечения;1
10973;знание компьютера на уровне опытного пользователя;1
10974;приветствуется знание основ бухгалтерского учета;1
10975;высокие коммуникативные навыки и грамотная речь;1
10976;стрессоустойчивость обязательность организованность пунктуальность;1
10977;пресейл по сервисам для устройств apple (финансовые инструменты гарантия и страховка поддержка и обслуживание emm-системы корпоративные приложения);1
10978;сопровождение клиентов на всех этапах сделки: подготовка коммерческих и технических предложений (в том числе для участия в тендерах);1
10979;выезд к клиентам совместно с аккаунт-менеджером;1
10980;участие в маркетинговых активностях проводимой компанией softline (выставки конференции семинары);1
10981;взаимодействие со смежными отделами компании (тендерные специалисты инженеры маркетологи и тд);1
10982;выполнение личного плана продаж;1
10983;желание развивать экспертизу по продуктам и сервисам apple для корпоративных заказчиков;1
10984;развивать продажи в ключевых клиентах;1
10985;проводить встречи с клиентами ярко рассказывать о продуктах и услугах предоставляемых компанией под нужды клиента;1
10986;поддерживать активные коммуникации с клиентами;1
10987;предлагать клиентам необходимые им решения и услуги компании;1
10988;вести переговоры с клиентом;1
10989;выполнять план по продажам;1
10990;поддержание действующей базы клиентов;1
10991;развитие клиентов компании;1
10992;переговоры по телефону и на личных встречах;1
10993;подготовка коммерческих предложений и заключение сделок;1
10994;документооборот ведение отчетности в системе 1с;1
10995;знание пк на уровне уверенного пользователя;1
10996;опыт ведения переговоров и опыт продаж от 1 года;1
10997;стабильный оклад на испытательном сроке 42 000 руб ;1
10998;оптовые продажи металлопроката (металлопрокат трубная продукция продукция верхнего строения путей металлоконструкции);1
10999;поиск и привлечение клиентов работа на входящем потоке заключение договоров;1
11000;ведение переговоров с первыми лицами;1
11001;подготовка и согласование договоров сопровождение сделки;1
11002;опыт продаж b2b b2c;1
11003;знание технологии продаж;1
11004;развитые лидерские и коммуникативные навыки;1
11005;ответственность мобильность желание зарабатывать;1
11006;выезжать по нашим заявкам и настраивать пк / ноутбуки;1
11007;устанавливать драйвера настраивать wi-fi;1
11008;подбирать / заменять комплектующие;1
11009;общаться с клиентами и предлагать им дополнительные услуги по настройке;1
11010;работа по скрипту;1
11011;поиск лучших решений для клиентов на основе их текущих потребностей мы работаем с компаниями представляющими все индустрии рынка ты всегда должен «держать руку на пульсе» и находить подход к клиентам с самыми разными и сложными запросами;1
11012;удержание и развитие действующих корпоративных клиентов;1
11013;проведение встреч и переговоров на высоком уровне в том числе и с первыми лицами компании;1
11014;качественная подготовка и проведение эффективных презентаций для клиентов;1
11015;опыт работы в корпоративных продажах от 1 года;1
11016;готовность постоянно профессионально развиваться;1
11017;готовность решать сложные задачи и реализовывать масштабные проекты;1
11018;отличные презентационные и коммуникативные навыки готовность подтвердить это примерами;1
11019;общение на самом высоком уровне;1
11020;умение работать в команде и отвечать за свой результат;1
11021;работа с действующими клиентами: пролонгация договоров консультирование по продуктам компании активные доппродажи ;1
11022;полный цикл продаж ;1
11023;подготовка коммерческих предложений для клиентов ;1
11024;контроль оплаты ;1
11025;поддержание долгосрочных отношений с клиентами;1
11026;знание комплектующих компьютерной техники;1
11027;навыки ведения переговоров с клиентами;1
11028;ответственность добросовестность пунктуальность;1
11029;желание учиться работать и зарабатывать;1
11030;образование от средне специального;1
11031;приветствуется опыт работы с клиентами опыт работы бухгалтером;1
11032;коммуникабельность и хорошо развитые коммуникативные навыки;1
11033;умение устанавливать контакт вести переговоры;1
11034;инициативность исполнительность‚ ответственность;1
11035;способность к самообучению;1
11036;поддержка и обслуживание текущих оптовых клиентов работа с офлайн магазинами маркетплейсами интернет-магазинами;1
11037;поиск и привлечение новых оптовых клиентов и работа с ними;1
11038;организация и проведение отгрузок товара;1
11039;проведение презентаций продуктов компании оптовым клиентам;1
11040;подготовка и участие в тематических выставках и мероприятиях;1
11041;ведение переговоров общение консультации деловая переписка с клиентами;1
11042;прием и контроль оплаты товаров;1
11043;оформление и ведение первичной документации;1
11044;уметь вести переговоры деловую переписку;1
11045;грамотно планировать рабочее время расставлять приоритеты по задачам;1
11046;быть инициативным иметь желание развивать свои навыки;1
11047;любишь и умеешь общаться и выстраивать долгосрочные отношения;1
11048;самостоятелен и нацелен на результат;1
11049;владеешь грамотной письменной и устной речью;1
11050;хочешь работать-зарабатывать-развиваться;1
11051;наличие опыта телефонных переговоров ваше сильное преимущество   ;1
11052;опыт управления отделом продаж от 1 года (сектор b2b it сервисы и услуги) ;1
11053;умение выстраивать коммуникации на любом уровне как с клиентами так и внутри компании ;1
11054;обязательное требование: опыт создания и выведения на рынок нового продукта/ работа в стартапе ;1
11055;выстраивание долговременных и лояльных отношений с ключевыми клиентами;1
11056;реализация продуктов и услуг компании корпоративным клиентам;1
11057;выявление лпр и организация личных встреч с целью проведения переговоров и презентаций;1
11058;осуществление допродаж;1
11059;участие в конкурсных процедурах;1
11060;опыт в сфере продаж b2b от 1 года;1
11061;уверенные навыки продаж и выявления потребностей умение поддерживать партнерские отношения с клиентами;1
11062;коммуникабельность настойчивость в достижении результата ответственность многозадачность;1
11063;желание получать профессиональное развитие и конкурентоспособную заработную плату;1
11064;опыт в прямых продажах аналогичной группы обязателен;1
11065;коммуникабельность позитивное мышление;1
11066;50 % рабочего времени на встречах;1
11067;продажа проектов ;1
11068;ведение сделки;1
11069;еще раз продажи!;1
11070;креативность мышление;1
11071;понимание клиента;1
11072;готовность брать на себя ответственность ;1
11073;активное ведение существующей базы (переговоры по телефоны рассылки);1
11074;разработка коммерческих предложений;1
11075;согласование и контроль отгрузок;1
11076;коммуникативные навыки грамотная речь усидчивость;1
11077;уверенный пользователь пкинтернет;1
11078;настойчивость целеустремленность;1
11079;опыт работы в продажах от 1 года и без опыта;1
11080;готовность к обучению нового;1
11081;продажи программного продукта (без холодного поиска);1
11082;выезды на предварительно организованные встречи (согласование встреч проводит телемаркетолог);1
11083;проведение дистанционных презентаций;1
11084;документооборот отчетность;1
11085;общение и взаимодействие с текущими в2в-клиентами с помощью средств связи и/или личных встреч;1
11086;привлечение новых клиентов по &quotтеплой&quot базе;1
11087;проведение переговоров с руководителями ведущих организаций рф;1
11088;ведение/анализ информационной базы клиентов;1
11089;ориентированность на клиента и создание прочных отношений;1
11090;контроль размера и порядка оплаты товаров/услуг в соответствии с заключенным договором оформление соответствующей документации;1
11091;планирование / подготовка / проведение мероприятий (конференции / семинары / обучения и тп) командировки по и за пределами россии;1
11092;обзвон по теплой базе информирование клиентов о программных продуктах (пп) которые могут быть им полезными в работе;1
11093;ведение действующей базы клиентов звонки с напоминаниями о необходимости сделать то или иное действие чтобы получить пп или эцп (электронно-цифровая подпись) и начать ими пользоваться;1
11094;помощь клиентам в освоении пп консультации по использованию эцп;1
11095;консультации клиентов по вопросам покупки пп (эцп) по подключению к сервисам компании;1
11096;любовь к общению с людьми и желание всячески помочь им (в пределах нашей компетенции);1
11097;тк наша работа на 60% связана с общением по телефону то важно чтобы кандидату это легко давалось и было в радость;1
11098;обязательно стремление к постоянному обучению и наращиванию компетенции в продажах;1
11099;продажа it (перечень на сайте) услуг b2b и проектов it услуг;1
11100;контроль и ведение b2b it проектов;1
11101;решение возникающих проблем оценка эффективности сделки;1
11102;развитие отношений с клиентами;1
11103;консультирование клиентов по ит услугам;1
11104;коммуникации с клиентами: телефонные и личные переговоры с первыми лицами компаний деловая переписка;1
11105;получение необходимых закрывающих документов;1
11106;исполнение регламентов по ведению бизнес-процессов компании;1
11107;ведение сделок в в amocrm itil и 1с;1
11108;опыт работы в сфере it от 2 лет;1
11109;умение работать в команде устанавливать и поддерживать долгосрочные деловые взаимоотношения с коллегами;1
11110;не конфликтность;1
11111;опыт работы в b2b продажах с сегментом enterprise;1
11112;опыт управления командой в2в продавцов;1
11113;наличие успешно закрытых сделок;1
11114;опыт анализа рынка и конкурентного окружения;1
11115;опыт в продажах ит-продуктов будет преимуществом;1
11116;лидерство в команде системность мышления сильные коммуникативные и презентационные навыки;1
11117;работа с крупными корпоративными клиентами в рф (роснефть евраз сибур северсталь теле2 почта россии headhunter и другие);1
11118;ведение телефонных переговоров и презентаций;1
11119;обработка входящих звонков/обработка запросов;1
11120;продажи программных продуктов;1
11121;увеличение объемов продаж;1
11122;работа с партнерами и клиентами;1
11123;входной контроль комплектующих и материалов по количеству и параметрам контроль складских запасов на производстве (радиоэлектронные компоненты);1
11124;обеспечение бесперебойной работы производства по комплектации и оборудованию обработка конструкторской документации;1
11125;поиск альтернативных поставщиков контроль цен согласование договоров (с помощью юридического отдела) контроль оплаты;1
11126;высшее среднее специальное образование знание принципов работы склада и документооборота на предприятии;1
11127;приветствуется знание английского языка;1
11128;выполнение поручений директора департамента в части организации производственного процесса и выпуска готовой продукции заданного качества и в установленные сроки ;1
11129;опыт работы на производстве обязателен желателен опыт работы в сфере закупок;1
11130;снабжение операционного склада;1
11131;операционная работа с остатками;1
11132;ежедневное пополнение складских запасов;1
11133;работа с поставщиками тмз;1
11134;проводить процедуры закупок по своему участку и оформлять все документы закупок проводимых способами запроса ценовых предложений и из одного источника согласно требованиям регламента и инструкции;1
11135;публиковать своевременно объявления об открытых тендерах запросе ценовых предложений отказов (отмены) от осуществления закупок информацию о закупках из одного источника на веб-сайте авиакомпании/или на веб-сайте определенном уполномоченным органом;1
11136;выдавать тендерную документацию потенциальным поставщикам по своему участку;1
11137;регистрировать поступающие тендерные заявки по своему участку;1
11138;организовывать и проводить заседания тендерных комиссий своевременно информировать членов тендерных комиссий о проведении заседаний оформлять протоколы вскрытия и протоколы об итогах тендера по окончании заседаний тендерных комиссий по своему участку;1
11139;оформлять все документы проводимых тендеров из одного источника и согласовывать их с уполномоченным органом в случаях установленных регламентом;1
11140;оформлять возвраты обеспечений заявок на участие в тендерах на своем участке;1
11141;давать рекомендации и помогать непосредственному руководителю в разработке планов стратегий и их внедрении;1
11142;контролировать своевременность повторного исполнения процедур закупок способом запроса ценовых предложений в случаях установленных правилами закупок;1
11143;контролировать качество ведения реестров потенциальных поставщиков авиакомпании и соответствующих реестров по способам осуществления закупок;1
11144;предоставлять информацию по планируемым к проведению и проведенным тендерам и иным способам закупок по своему участку;1
11145;оформлять все документы по организации и проведению процедур закупок в соответствии с установленными авиакомпанией нормативами по хранению документов и сдавать документы в архив авиакомпании в установленном порядке;1
11146;проверять проведение маркетингового исследования на новые закупки на своем участке и готовить сравнительные таблицы цен товаров и услуг при повторяющихся закупках;1
11147;своевременно информировать непосредственного руководителя о любых затянувшихся вопросах/ изменениях/ решениях/ проблемах с поставщиками и структурными подразделениями авиакомпании по своему участку;1
11148;закупка товара (ит оборудование комплектующие расходные материалы аксессуары и тд) для последующей продажи конечным заказчикам по договорам поставки подбор оборудования для расценки спецификаций в конкурсных процедурах;1
11149;честность ответственность готовность работать режиме многозадачности;1
11150;определение целей развития товарного направления и формирование стратегии их достижения в разрезе объектов управления: ассортимент ценовая политика продвижение сбыта коммерция;1
11151;работа с существующими и потенциальными поставщиками;1
11152;обеспечение и контроль оптимальных процессов товародвижения;1
11153;поддержание доступности товара на складе с учетом соблюдения норматива периода оборачиваемости и текущей потребности в продукции;1
11154;обеспечение регулярных поставок товара на центральный склад от поставщика в соответствии с логистическими требованиями к поставкам;1
11155;контроль цен на основании документов поставщика;1
11156;хороший навык ведения переговоров на уровне первых лиц компаний;1
11157;опыт работы в закупках и управлении товародвижением от 1 года;1
11158;знание основ товарной логистики и маркетинга;1
11159;умение работать с базами данных о товаре статистикой и электронными таблицами;1
11160;непрямые закупки по категориям: ит-оборудование по;1
11161;анализ рынка по направлению;1
11162;организация и проведение конкурентных закупочных процедур (полный цикл);1
11163;построение поддержание и развитие эффективных деловых отношений с внутренними заказчиками с учетом интересов закупочной функции;1
11164;проведение переговоров с поставщиками на предмет снижения коммерческих предложений;1
11165;участие в разработке и внедрении категорийной стратегии по данным направлениям;1
11166;опыт работы в закупках по указанным категориям;1
11167;знание рынка по категориям и его специфики - основных трендов поставщиков и тд;1
11168;умение жестко и последовательно отстаивать интересы компании работодателя на внешнем рынке с поставщиками а также интересы закупочной функции внутри компании с внутренними заказчиками;1
11169;доказанный опыт успешных переговоров коммерческого толка на предмет снижения ценовой составляющей;1
11170;опыт работы на этп сбербанк аст;1
11171;желателен опыт организации закупочной деятельности с нуля по указанным категориям;1
11172;желателен опыт в непрямых закупках в банковской сфере ​​​​​​;1
11173;cоставление тз;1
11174;согласование/корректировка тз составленных со стороны подразделений;1
11175;аудит закупок прошлых периодов;1
11176;систематизация документов;1
11177;опыт работы в закупках от 15 лет (направления - строительно-монтажное инженерно-техническое логистика ит);1
11178;социальный пакет: дмс и страхование при выезде за рубеж (по истечении трех месяцев с даты приема на работу) страхование от несчастных случаев и болезней 24/7 (с даты приема на работу) корпоративные скидки на членство в фитнес-клубах страхование и путевки от туроператоров специальные программы на банковские продукты;1
11179;опыт работы от 2-х лет в сфере закупок;1
11180;понимание цепочки поставки и цепочки создания стоимости по соответствующим категориям закупок;1
11181;личные качества: честность ответственность инициативность умение работать в команде хорошие аналитические способности системное мышление;1
11182;участие в бизнес-процессах компании ;1
11183;организация закупок под запросы клиентов и менеджеров ;1
11184;организация перевозок отгрузок и комплектации товаров для доставки внешними курьерами авто тк и курьерскими компаниями ;1
11185;организация складского учета ;1
11186;организация эффективного взаимодействия с другими подразделениями компании: филиалами складами отделами продаж бухгалтерией ;1
11187;развитие отдела: - поиск и разработка новых и более выгодных вариантов доставки/ логистики - поиск и согласование более выгодных предложений и цен по закупаемой продукции - анализ складских запасов и предложения по развитию и оптимизации запасов ;1
11188;организация и стратегическое управление всей закупочной деятельности группы компаний (ит оборудование комплектующие софт сопутствующее оборудование для ит проектов) ;1
11189;бюджетирование и планирование ;1
11190;работа с поставщиками в части транспортной и складской логистики с целью экономии и нахождения более рациональных вариантов транспортировки и хранения ;1
11191;организация процедуры выбора поставщиков на конкурсной основе ;1
11192;договорная работа (согласование заключение ведение) ;1
11193;ведение информационной базы данных о заключенных договорах поставки ;1
